offender_id,user_id,date_of_birth,gender,nationality,county,risk_level,criminal_history,substance_abuse,mental_health_issues,anger_issues,family_support,peer_support,community_ties,employment_status,employment_duration,education_level,financial_stability,housing_stability,probation_start_date,probation_duration_months,probation_officer,program_participation,program_types,compliance_rate,violation_count,curfew_breaks,positive_behavior_points,last_violation_date,probation_end_date,probation_completed,recidivism_risk
OFF_000034,34,2008-03-23 10:53:54.960352,female,Kenyan,Eldoret,medium,0,1,0,0,3,3,4,self_employed,68,diploma,4,1,2022-11-23 14:54:09.962187,36,Officer_3,1,"['Mental Health Support', 'Counseling']",0.8938248768885925,1,0,7,,2025-11-23 11:03:45.962187008,1,0
OFF_000035,35,2005-01-03 14:12:26.958794,male,Kenyan,Kericho,low,3,0,1,1,3,3,1,self_employed,147,secondary,5,1,2024-04-26 01:13:11.962187,12,Officer_9,3,['Family Counseling'],0.8654543811605621,0,0,4,,2025-04-26 07:56:23.962187000,0,0
OFF_000036,36,1999-05-28 10:14:21.958794,male,Kenyan,Thika,high,3,0,0,1,2,2,5,unemployed,191,diploma,3,4,2024-11-20 10:45:48.962187,60,Officer_14,4,"['Family Counseling', 'Community Service', 'Education Advancement']",0.7695201885162272,1,0,5,,2029-11-20 20:21:48.962187008,1,0
OFF_000037,37,1995-02-27 23:36:38.958794,male,Kenyan,Nairobi,medium,5,0,0,0,2,1,2,employed,15,diploma,3,4,2021-10-24 20:31:24.962187,24,Officer_11,3,[],0.9159680192382648,1,1,5,,2023-10-25 09:57:48.962187008,1,0
OFF_000038,38,1986-10-30 22:02:02.958794,male,Kenyan,Eldoret,high,3,1,0,0,1,4,4,unemployed,50,tertiary,3,2,2024-01-11 08:23:50.962187,36,Officer_17,4,[],0.8428283843854552,3,0,5,,2027-01-11 04:33:26.962187008,1,0
OFF_000039,39,1990-11-26 02:33:35.958794,male,Kenyan,Eldoret,medium,2,0,0,1,5,1,2,student,104,tertiary,5,1,2023-11-21 18:08:42.962187,36,Officer_9,0,"['Family Counseling', 'Counseling', 'Job Training']",0.8759283406911419,3,0,4,2025-12-22 10:53:54.976068,2026-11-21 14:18:18.962187008,1,1
OFF_000040,40,1999-02-26 13:22:06.958794,male,Kenyan,Thika,medium,4,1,0,0,2,5,1,employed,164,diploma,4,1,2022-04-12 15:38:07.962187,60,Officer_1,3,"['Vocational Training', 'Family Counseling']",0.856860885755677,1,1,4,2025-06-02 10:53:54.976102,2027-04-13 01:14:07.962187008,1,1
OFF_000041,41,1983-03-16 21:42:16.958794,male,Kenyan,Kisumu,low,3,0,0,1,2,1,5,employed,231,secondary,4,5,2023-10-10 12:32:59.962187,48,Officer_10,2,"['Family Counseling', 'Substance Abuse Treatment']",0.8395048059006578,2,1,3,,2027-10-10 15:25:47.962187008,1,0
OFF_000042,42,1982-07-24 15:56:58.958794,male,Kenyan,Eldoret,low,1,0,0,0,3,1,1,employed,200,diploma,1,5,2025-07-14 00:41:35.962187,48,Officer_10,2,"['Substance Abuse Treatment', 'Family Counseling', 'Vocational Training']",0.688348447801017,0,0,3,,2029-07-14 03:34:23.962187008,1,0
OFF_000043,43,2002-02-07 14:21:52.958794,female,Kenyan,Kericho,medium,5,0,0,0,5,3,2,employed,196,tertiary,5,2,2023-11-07 08:50:03.962187,48,Officer_19,1,[],0.8939810260932153,1,0,7,2025-12-13 10:53:54.976132,2027-11-07 11:42:51.962187008,1,0
OFF_000044,44,1982-10-31 08:27:57.958794,male,Kenyan,Eldoret,medium,1,1,1,1,1,4,5,unemployed,169,secondary,1,1,2024-09-10 06:52:51.962187,24,Officer_19,2,"['Community Service', 'Family Counseling', 'Mental Health Support']",0.7698622093110369,0,0,5,2025-12-18 10:53:54.976152,2026-09-10 20:19:15.962187008,0,0
OFF_000045,45,2000-09-04 22:26:17.958794,male,Kenyan,Eldoret,low,0,0,0,1,2,1,5,self_employed,184,diploma,5,2,2023-12-29 20:51:30.962187,60,Officer_16,1,"['Job Training', 'Community Service']",0.7421635900630159,0,1,4,2025-08-20 10:53:54.976176,2028-12-29 06:27:30.962187008,1,0
OFF_000046,46,1999-08-28 12:28:42.958794,male,Kenyan,Eldoret,low,4,0,1,0,5,3,1,self_employed,65,degree,1,5,2024-08-22 16:02:45.962187,60,Officer_5,0,[],0.8477873964639493,0,0,9,2025-09-03 10:53:54.976202,2029-08-23 01:38:45.962187008,1,0
OFF_000047,47,2008-03-23 10:53:54.960352,male,Kenyan,Machakos,high,3,0,0,1,5,2,4,student,8,degree,2,5,2023-09-26 00:32:52.962187,48,Officer_15,4,"['Vocational Training', 'Substance Abuse Treatment', 'Job Training']",0.8935979663852125,1,1,5,,2027-09-26 03:25:40.962187008,1,0
OFF_000048,48,1994-04-02 03:44:21.958794,male,Kenyan,Machakos,high,1,0,0,0,1,3,2,self_employed,106,diploma,3,4,2025-12-07 22:53:21.962187,48,Officer_18,0,['Mental Health Support'],0.769965316139569,1,1,5,2024-11-30 10:53:54.976226,2029-12-08 01:46:09.962187008,1,0
OFF_000049,49,1979-03-17 10:05:39.958794,male,Kenyan,Kisumu,medium,4,0,0,0,5,3,3,self_employed,99,secondary,3,2,2022-04-20 22:09:53.962187,12,Officer_16,4,"['Counseling', 'Education Advancement']",0.6119417096064377,2,0,6,,2023-04-21 04:53:05.962187000,1,0
OFF_000050,50,2008-03-23 10:53:54.960352,female,Kenyan,Nairobi,low,0,0,1,0,5,3,3,self_employed,85,diploma,4,2,2022-11-07 11:31:57.962187,12,Officer_12,4,"['Substance Abuse Treatment', 'Job Training', 'Family Counseling']",0.8370939397867041,0,3,6,2025-02-07 10:53:54.976251,2023-11-07 18:15:09.962187000,1,0
OFF_000051,51,2007-07-07 12:30:45.958794,male,Kenyan,Eldoret,low,2,0,0,0,5,1,1,self_employed,63,diploma,2,1,2024-10-17 17:38:57.962187,36,Officer_11,1,[],0.9716621272422205,1,1,6,,2027-10-18 13:48:33.962187008,1,0
OFF_000052,52,2008-03-23 10:53:54.960352,female,Kenyan,Meru,low,5,0,0,1,2,1,2,student,213,tertiary,3,1,2024-06-11 10:01:09.962187,36,Officer_18,2,['Counseling'],0.809014529142411,0,0,4,,2027-06-12 06:10:45.962187008,1,0
OFF_000053,53,1984-09-29 00:36:14.958794,female,Kenyan,Nairobi,high,4,0,0,0,1,2,2,unemployed,21,degree,4,4,2022-09-13 03:19:02.962187,60,Officer_18,2,"['Mental Health Support', 'Job Training', 'Community Service']",0.7005514397395166,3,1,3,,2027-09-13 12:55:02.962187008,1,0
OFF_000054,54,2002-01-03 23:27:07.958794,male,Kenyan,Kisumu,low,4,0,0,0,5,5,1,employed,161,tertiary,2,3,2026-01-22 14:27:43.962187,60,Officer_13,1,"['Community Service', 'Counseling']",0.8019706149591523,1,0,4,,2031-01-23 00:03:43.962187008,1,0
OFF_000055,55,1981-08-12 01:02:46.958794,female,Kenyan,Nakuru,medium,2,0,0,0,5,5,2,self_employed,182,tertiary,3,3,2023-10-12 11:20:51.962187,24,Officer_15,1,"['Vocational Training', 'Family Counseling', 'Job Training']",0.9429178819247619,3,0,5,,2025-10-12 00:47:15.962187008,1,0
OFF_000056,56,2008-03-23 10:53:54.960352,male,Kenyan,Nairobi,low,4,1,1,0,2,5,4,unemployed,156,diploma,1,3,2024-09-03 02:03:27.962187,24,Officer_11,0,['Mental Health Support'],0.8575043032041315,1,1,2,,2026-09-03 15:29:51.962187008,1,0
OFF_000057,57,1996-03-14 10:33:06.958794,male,Kenyan,Nairobi,medium,0,0,0,0,1,2,1,self_employed,165,tertiary,5,2,2025-11-17 20:03:28.962187,12,Officer_7,1,"['Family Counseling', 'Counseling', 'Substance Abuse Treatment']",0.861892961676482,0,0,6,2026-01-30 10:53:54.976281,2026-11-18 02:46:40.962187000,1,0
OFF_000058,58,2008-03-23 10:53:54.960352,male,Kenyan,Kisii,medium,0,1,1,1,3,5,4,self_employed,109,degree,2,2,2021-03-22 17:10:02.962187,36,Officer_8,2,['Mental Health Support'],0.790796079326554,1,0,0,,2024-03-22 13:19:38.962187008,1,0
OFF_000059,59,2008-03-23 10:53:54.960352,male,Kenyan,Mombasa,high,2,1,0,0,2,5,2,employed,96,tertiary,4,5,2023-10-21 13:27:25.962187,12,Officer_19,1,"['Community Service', 'Education Advancement']",0.7078523799376955,3,0,9,2025-04-02 10:53:54.976306,2024-10-20 20:10:37.962187000,1,0
OFF_000060,60,2000-11-09 22:35:38.958794,male,Kenyan,Kisii,low,5,0,0,1,1,3,1,employed,17,degree,2,2,2023-08-29 20:44:08.962187,12,Officer_13,1,"['Mental Health Support', 'Substance Abuse Treatment']",0.9198002674321536,2,1,3,,2024-08-29 03:27:20.962187000,1,1
OFF_000061,61,2008-03-23 10:53:54.960352,male,Kenyan,Kericho,low,3,1,0,1,5,1,2,employed,70,tertiary,4,2,2023-01-03 11:15:18.962187,36,Officer_8,4,"['Substance Abuse Treatment', 'Education Advancement', 'Vocational Training']",0.7778389575976553,1,0,10,,2026-01-03 07:24:54.962187008,0,0
OFF_000062,62,1989-05-02 19:30:32.958794,male,Kenyan,Machakos,low,1,0,0,0,1,1,1,self_employed,192,degree,2,2,2024-11-16 01:40:54.962187,24,Officer_14,1,"['Mental Health Support', 'Family Counseling']",0.8178247859659296,2,1,4,2025-07-19 10:53:54.976328,2026-11-16 15:07:18.962187008,1,1
OFF_000063,63,2008-03-23 10:53:54.960352,male,Kenyan,Machakos,high,3,1,1,1,1,3,2,self_employed,126,tertiary,4,4,2026-02-25 09:41:52.962187,36,Officer_2,0,[],0.9457898276894782,0,0,4,,2029-02-25 05:51:28.962187008,1,1
OFF_000064,64,1980-12-25 06:09:47.958794,male,Kenyan,Mombasa,high,4,0,1,1,1,3,4,self_employed,96,tertiary,3,2,2023-12-17 15:32:33.962187,48,Officer_11,1,"['Substance Abuse Treatment', 'Job Training', 'Mental Health Support']",0.76743293917097,0,1,7,2026-03-10 10:53:54.976357,2027-12-17 18:25:21.962187008,1,0
OFF_000065,65,1979-05-15 10:12:30.958794,male,Kenyan,Thika,medium,1,0,0,0,3,3,4,employed,0,secondary,1,1,2025-03-05 02:55:50.962187,48,Officer_16,3,[],0.9032294734990836,2,0,5,2026-03-01 10:53:54.976385,2029-03-05 05:48:38.962187008,1,0
OFF_000066,66,2008-03-23 10:53:54.960352,male,Kenyan,Thika,medium,2,1,0,0,1,1,2,student,215,degree,3,1,2024-12-23 00:51:04.962187,48,Officer_13,3,"['Substance Abuse Treatment', 'Mental Health Support', 'Family Counseling']",0.8807106948733645,1,1,4,,2028-12-23 03:43:52.962187008,1,1
OFF_000067,67,1991-10-04 21:30:49.958794,male,Kenyan,Kisumu,medium,2,1,0,0,3,5,1,unemployed,131,degree,1,5,2024-12-24 04:43:20.962187,60,Officer_13,4,['Vocational Training'],0.9359558501320318,2,3,10,,2029-12-24 14:19:20.962187008,1,0
OFF_000068,68,1995-12-11 05:32:24.958794,male,Kenyan,Mombasa,low,5,1,1,0,5,3,3,student,3,degree,3,4,2023-01-14 09:37:47.962187,24,Officer_5,4,"['Community Service', 'Substance Abuse Treatment', 'Mental Health Support']",0.9432591072450046,1,1,5,,2025-01-13 23:04:11.962187008,1,1
OFF_000069,69,1981-09-05 16:39:54.958794,female,Kenyan,Nairobi,high,1,0,0,1,3,2,4,self_employed,124,primary,3,1,2025-07-26 14:47:38.962187,24,Officer_16,3,"['Community Service', 'Job Training', 'Mental Health Support']",0.8699795122177088,3,0,7,,2027-07-27 04:14:02.962187008,1,0
OFF_000070,70,1992-02-03 12:04:14.958794,male,Kenyan,Thika,medium,0,0,0,0,5,3,4,self_employed,81,tertiary,2,4,2025-03-30 14:13:02.962187,60,Officer_2,4,['Vocational Training'],0.8828140044872859,1,1,3,2026-03-15 10:53:54.976407,2030-03-30 23:49:02.962187008,1,0
OFF_000071,71,1983-02-14 20:35:54.958794,male,Kenyan,Eldoret,medium,1,1,1,1,5,4,3,student,26,degree,5,4,2022-08-30 16:00:20.962187,12,Officer_5,4,[],0.8918712090675679,2,0,4,,2023-08-30 22:43:32.962187000,1,1
OFF_000072,72,2002-02-12 13:01:33.958794,male,Kenyan,Meru,medium,4,0,0,0,3,3,2,self_employed,170,primary,4,5,2021-12-09 21:42:42.962187,48,Officer_17,2,['Vocational Training'],0.9610143419569711,0,0,3,2024-07-30 10:53:54.976428,2025-12-10 00:35:30.962187008,1,0
OFF_000073,73,1995-03-02 12:36:46.958794,male,Kenyan,Nairobi,low,0,1,0,0,2,1,1,unemployed,58,secondary,4,4,2023-08-20 03:32:47.962187,48,Officer_19,2,"['Mental Health Support', 'Education Advancement', 'Counseling']",0.8087453636126251,2,0,2,,2027-08-20 06:25:35.962187008,1,0
OFF_000074,74,2007-02-08 00:40:43.958794,male,Kenyan,Kericho,low,2,1,0,1,4,3,2,self_employed,31,degree,4,2,2025-08-08 21:47:08.962187,12,Officer_11,1,"['Education Advancement', 'Family Counseling', 'Substance Abuse Treatment']",0.781116694210896,1,0,3,2025-04-20 10:53:54.976452,2026-08-09 04:30:20.962187000,1,1
OFF_000075,75,2008-03-23 10:53:54.960352,male,Kenyan,Eldoret,medium,1,0,1,0,1,4,5,unemployed,160,degree,1,4,2024-01-26 20:20:47.962187,36,Officer_4,3,"['Vocational Training', 'Mental Health Support', 'Counseling']",0.7493849402577358,0,2,6,,2027-01-26 16:30:23.962187008,1,1
OFF_000076,76,2001-01-28 09:46:10.958794,male,Kenyan,Eldoret,low,3,0,0,0,4,2,4,student,27,primary,4,5,2022-01-05 14:21:08.962187,36,Officer_15,0,['Mental Health Support'],0.8006225542338409,0,1,7,,2025-01-05 10:30:44.962187008,1,0
OFF_000077,77,1987-04-27 05:50:46.958794,male,Kenyan,Mombasa,medium,5,0,0,0,1,5,5,student,105,tertiary,4,5,2023-03-21 03:58:12.962187,24,Officer_4,3,"['Job Training', 'Community Service', 'Counseling']",0.8500686075299428,2,0,5,,2025-03-20 17:24:36.962187008,1,0
OFF_000078,78,2001-06-10 08:26:46.958794,male,Kenyan,Kisumu,low,3,0,0,0,1,3,4,self_employed,104,secondary,2,5,2023-11-10 21:27:04.962187,60,Officer_17,3,"['Mental Health Support', 'Substance Abuse Treatment', 'Community Service']",0.9579841994182853,1,0,3,,2028-11-10 07:03:04.962187008,1,0
OFF_000079,79,2000-06-04 18:07:39.958794,male,Kenyan,Kericho,medium,5,1,0,0,5,4,4,unemployed,182,degree,3,1,2023-02-17 09:19:13.962187,24,Officer_15,2,"['Family Counseling', 'Counseling']",0.9133545136182856,0,1,3,,2025-02-16 22:45:37.962187008,1,1
OFF_000080,80,1990-07-04 18:42:33.958794,female,Kenyan,Thika,low,4,0,0,0,1,4,5,self_employed,227,tertiary,4,2,2022-11-30 03:06:08.962187,36,Officer_1,2,['Substance Abuse Treatment'],0.9455506056857838,0,0,7,,2025-11-29 23:15:44.962187008,1,0
OFF_000081,81,2008-03-23 10:53:54.960352,male,Kenyan,Mombasa,medium,3,1,0,0,1,2,5,employed,187,secondary,5,1,2022-06-22 06:24:22.962187,12,Officer_5,4,"['Education Advancement', 'Community Service']",0.7910656863698496,2,1,3,,2023-06-22 13:07:34.962187000,1,0
OFF_000082,82,1994-06-02 05:22:12.958794,male,Kenyan,Thika,medium,1,0,0,1,3,1,2,employed,69,diploma,4,3,2021-06-05 08:11:14.962187,24,Officer_14,0,"['Education Advancement', 'Mental Health Support']",0.9241155307815418,2,1,4,,2023-06-05 21:37:38.962187008,1,1
OFF_000083,83,2008-03-23 10:53:54.960352,male,Kenyan,Mombasa,low,1,1,0,0,4,3,5,employed,61,diploma,1,2,2021-08-12 00:50:35.962187,48,Officer_5,2,"['Mental Health Support', 'Education Advancement', 'Community Service']",0.8525745722281355,2,0,7,,2025-08-12 03:43:23.962187008,1,0
OFF_000084,84,2008-03-23 10:53:54.960352,male,Kenyan,Mombasa,medium,3,0,0,0,3,4,2,employed,207,secondary,1,4,2023-04-21 03:40:53.962187,48,Officer_3,4,"['Substance Abuse Treatment', 'Vocational Training']",0.8695059032520083,0,0,4,2026-01-26 10:53:54.976484,2027-04-21 06:33:41.962187008,1,0
OFF_000085,85,2008-03-23 10:53:54.960352,male,Kenyan,Mombasa,medium,1,0,0,0,1,2,2,self_employed,33,primary,1,5,2025-04-05 15:37:54.962187,12,Officer_16,0,"['Job Training', 'Family Counseling', 'Community Service']",0.5920100059287849,2,1,2,2026-01-10 10:53:54.976510,2026-04-05 22:21:06.962187000,1,0
OFF_000086,86,1981-02-09 04:09:17.958794,male,Kenyan,Kisumu,medium,4,0,1,1,5,5,2,employed,86,secondary,4,3,2021-11-02 17:21:53.962187,36,Officer_9,2,['Substance Abuse Treatment'],0.8051467836469991,1,0,3,,2024-11-02 13:31:29.962187008,0,0
OFF_000087,87,2008-03-23 10:53:54.960352,male,Kenyan,Mombasa,high,0,1,0,0,3,4,4,unemployed,113,secondary,2,2,2025-02-03 09:11:20.962187,48,Officer_11,3,[],0.8907086350396145,2,0,2,2025-07-21 10:53:54.976623,2029-02-03 12:04:08.962187008,1,0
OFF_000088,88,2008-03-23 10:53:54.960352,female,Kenyan,Nakuru,medium,4,1,1,0,3,2,4,student,105,primary,5,1,2024-09-29 01:51:34.962187,48,Officer_20,3,"['Counseling', 'Community Service']",0.7499188569204703,1,1,8,,2028-09-29 04:44:22.962187008,1,1
